match_id,P1Name,P2Name,P1Hand,P2Hand,P1Points,P2Points,result,winner,loser,tournament_name,surface,start_date,winner_return_points_total,winner_return_points_won,loser_return_points_total,loser_return_points_won
20170910-M-US_Open-F-Kevin_Anderson-Rafael_Nadal.html,Kevin Anderson,Rafael Nadal,RH,LH,78,102,Rafael Nadal d. Kevin Anderson 6-3 6-3 6-4,Rafael Nadal,Kevin Anderson,US_Open,hard,2017-09-10,108,45,72,15
20170909-W-US_Open-F-Madison_Keys-Sloane_Stephens.html,Madison Keys,Sloane Stephens,RH,RH,39,60,Sloane Stephens d. Madison Keys 6-3 6-0,Sloane Stephens,Madison Keys,US_Open,hard,2017-09-09,55,29,44,13
20170908-M-US_Open-SF-Rafael_Nadal-Juan_Martin_Del_Potro.html,Rafael Nadal,Juan Martin Del Potro,LH,RH,109,76,Rafael Nadal d. Juan Martin Del Potro 4-6 6-0 6-3 6-2,Rafael Nadal,Juan Martin Del Potro,US_Open,hard,2017-09-08,95,41,90,22
20170908-M-US_Open-SF-Kevin_Anderson-Pablo_Carreno_Busta.html,Kevin Anderson,Pablo Carreno Busta,RH,RH,137,110,Kevin Anderson d. Pablo Carreno Busta 4-6 7-5 6-3 6-4,Kevin Anderson,Pablo Carreno Busta,US_Open,hard,2017-09-08,144,57,103,23
20170907-W-US_Open-SF-Sloane_Stephens-Venus_Williams.html,Sloane Stephens,Venus Williams,RH,RH,90,84,Sloane Stephens d. Venus Williams 6-1 0-6 7-5,Sloane Stephens,Venus Williams,US_Open,hard,2017-09-07,88,42,86,38
20170907-W-US_Open-SF-Madison_Keys-Coco_Vandeweghe.html,Madison Keys,Coco Vandeweghe,RH,RH,62,36,Madison Keys d. Coco Vandeweghe 6-1 6-2,Madison Keys,Coco Vandeweghe,US_Open,hard,2017-09-07,51,27,47,12
20170906-W-US_Open-QF-Madison_Keys-Kaia_Kanepi.html,Madison Keys,Kaia Kanepi,RH,RH,67,50,Madison Keys d. Kaia Kanepi 6-3 6-3,Madison Keys,Kaia Kanepi,US_Open,hard,2017-09-06,64,28,53,14
20170906-W-US_Open-QF-Karolina_Pliskova-Coco_Vandeweghe.html,Karolina Pliskova,Coco Vandeweghe,RH,RH,63,76,Coco Vandeweghe d. Karolina Pliskova 7-6(4) 6-3,Coco Vandeweghe,Karolina Pliskova,US_Open,hard,2017-09-06,56,21,83,28
20170906-M-US_Open-QF-Roger_Federer-Juan_Martin_Del_Potro.html,Roger Federer,Juan Martin Del Potro,RH,RH,125,131,Juan Martin Del Potro d. Roger Federer 7-5 3-6 7-6(8) 6-4,Juan Martin Del Potro,Roger Federer,US_Open,hard,2017-09-06,137,46,119,34
20170904-W-US_Open-R16-Madison_Keys-Elina_Svitolina.html,Madison Keys,Elina Svitolina,RH,RH,98,97,Madison Keys d. Elina Svitolina 7-6(2) 1-6 6-4,Madison Keys,Elina Svitolina,US_Open,hard,2017-09-04,98,43,97,42
20170904-W-US_Open-R16-Kaia_Kanepi-Daria_Kasatkina.html,Kaia Kanepi,Daria Kasatkina,RH,RH,75,62,Kaia Kanepi d. Daria Kasatkina 6-4 6-4,Kaia Kanepi,Daria Kasatkina,US_Open,hard,2017-09-04,63,35,74,34
20170904-W-US_Open-R16-Garbine_Muguruza-Petra_Kvitova.html,Garbine Muguruza,Petra Kvitova,RH,LH,64,75,Petra Kvitova d. Garbine Muguruza 7-6(3) 6-3,Petra Kvitova,Garbine Muguruza,US_Open,hard,2017-09-04,62,29,77,31
20170904-M-US_Open-R16-Andrey_Rublev-David_Goffin.html,Andrey Rublev,David Goffin,RH,RH,115,102,Andrey Rublev d. David Goffin 7-5 7-6(5) 6-3,Andrey Rublev,David Goffin,US_Open,hard,2017-09-04,120,50,97,32
20170903-W-US_Open-R16-Maria_Sharapova-Anastasija_Sevastova.html,Maria Sharapova,Anastasija Sevastova,RH,RH,83,94,Anastasija Sevastova d. Maria Sharapova 5-7 6-4 6-2,Anastasija Sevastova,Maria Sharapova,US_Open,hard,2017-09-03,89,37,88,31
20170903-M-US_Open-R16-Lucas_Pouille-Diego_Schwartzman.html,Lucas Pouille,Diego Schwartzman,RH,RH,120,126,Diego Schwartzman d. Lucas Pouille 7-6(3) 7-5 2-6 6-2,Diego Schwartzman,Lucas Pouille,US_Open,hard,2017-09-03,111,46,135,55
20170903-M-US_Open-R16-Denis_Shapovalov-Pablo_Carreno_Busta.html,Denis Shapovalov,Pablo Carreno Busta,LH,RH,124,128,Pablo Carreno Busta d. Denis Shapovalov 7-6(2) 7-6(4) 7-6(3),Pablo Carreno Busta,Denis Shapovalov,US_Open,hard,2017-09-03,119,41,133,46
20170902-W-US_Open-R32-Sloane_Stephens-Ashleigh_Barty.html,Sloane Stephens,Ashleigh Barty,RH,RH,67,56,Sloane Stephens d. Ashleigh Barty 6-2 6-4,Sloane Stephens,Ashleigh Barty,US_Open,hard,2017-09-02,56,31,67,31
20170902-W-US_Open-R32-Kurumi_Nara-Lucie_Safarova.html,Kurumi Nara,Lucie Safarova,RH,LH,40,61,Lucie Safarova d. Kurumi Nara 6-3 6-2,Lucie Safarova,Kurumi Nara,US_Open,hard,2017-09-02,52,27,49,15
20170902-W-US_Open-R32-Daria_Kasatkina-Jelena_Ostapenko.html,Daria Kasatkina,Jelena Ostapenko,RH,RH,62,49,Daria Kasatkina d. Jelena Ostapenko 6-3 6-2,Daria Kasatkina,Jelena Ostapenko,US_Open,hard,2017-09-02,47,27,64,29
20170902-W-US_Open-R32-Anastasija_Sevastova-Donna_Vekic.html,Anastasija Sevastova,Donna Vekic,RH,RH,66,48,Anastasija Sevastova d. Donna Vekic 6-2 6-3,Anastasija Sevastova,Donna Vekic,US_Open,hard,2017-09-02,54,31,60,25
20170901-W-US_Open-R64-Agnieszka_Radwanska-Yulia_Putintseva.html,Agnieszka Radwanska,Yulia Putintseva,RH,RH,72,56,Agnieszka Radwanska d. Yulia Putintseva 7-5 6-2,Agnieszka Radwanska,Yulia Putintseva,US_Open,hard,2017-09-01,66,36,62,26
20170901-M-US_Open-R32-Marin_Cilic-Diego_Schwartzman.html,Marin Cilic,Diego Schwartzman,RH,RH,135,147,Diego Schwartzman d. Marin Cilic 4-6 7-5 7-5 6-4,Diego Schwartzman,Marin Cilic,US_Open,hard,2017-09-01,139,63,143,59
20170831-W-US_Open-R64-Venus_Williams-Oceane_Dodin.html,Venus Williams,Oceane Dodin,RH,RH,77,56,Venus Williams d. Oceane Dodin 7-5 6-4,Venus Williams,Oceane Dodin,US_Open,hard,2017-08-31,77,36,56,15
